"name","referencePath","policyType","category","displayName","description","groupNames","policySets","allowedEffects","prodEffect","prodParameters"
"af35e2a4-ef96-44e7-a9ae-853dd97032c4","","BuiltIn","App Platform","Azure Spring Cloud should use network injection","Azure Spring Cloud instances should use virtual network injection for the following purposes: 1. Isolate Azure Spring Cloud from Internet. 2. Enable Azure Spring Cloud to interact with systems in either on premises data centers or Azure service in other virtual networks. 3. Empower customers to control inbound and outbound network communications for Azure Spring Cloud.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: azureSpringCloudShouldUseNetworkInjectionMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"5bb220d9-2698-4ee4-8404-b9c30c9df609","","BuiltIn","App Service","App Service apps should have 'Client Certificates (Incoming client certificates)' enabled","Client certificates allow for the app to request a certificate for incoming requests. Only clients that have a valid certificate will be able to reach the app.","Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: Audit (default: ensureWEBAppHasClientCertificatesIncomingClientCertificatesSetToOnMonitoringEffect)","parameter: Disabled,Audit","Audit",""
"cb510bfd-1cba-4d9f-a230-cb0976f4bb71","","BuiltIn","App Service","App Service apps should have remote debugging turned off","Remote debugging requires inbound ports to be opened on an App Service app. Remote debugging should be turned off.","Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: AuditIfNotExists (default: webAppDisableRemoteDebuggingMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"91a78b24-f231-4a8a-8da9-02c35b2b6510","","BuiltIn","App Service","App Service apps should have resource logs enabled","Audit enabling of resource logs on the app. This enables you to recreate activity trails for investigation purposes if a security incident occurs or your network is compromised.","Azure_Security_Benchmark_v3.0_LT-3","pr-glob-: AuditIfNotExists (default: diagnosticLogsInAppServicesShouldBeEnabledMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"5744710e-cc2f-4ee8-8809-3b11e89f4bc9","","BuiltIn","App Service","App Service apps should not have CORS configured to allow every resource to access your apps","Cross-Origin Resource Sharing (CORS) should not allow all domains to access your app. Allow only required domains to interact with your app.","Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: AuditIfNotExists (default: webAppRestrictCORSAccessMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"a4af4a39-4135-47fb-b175-47fbdf85311d","","BuiltIn","App Service","App Service apps should only be accessible over HTTPS","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.","Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: Audit (default: webAppEnforceHttpsMonitoringEffectV2)","parameter: Disabled,Audit","Audit",""
"4d24b6d4-5e53-4a4f-a7f4-618fa573ee4b","","BuiltIn","App Service","App Service apps should require FTPS only","Enable FTPS enforcement for enhanced security.","Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: AuditIfNotExists (default: fTPSShouldBeRequiredInYourWebAppMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"2b9ad585-36bc-4615-b300-fd4435808332","","BuiltIn","App Service","App Service apps should use managed identity","Use a managed identity for enhanced authentication security","Azure_Security_Benchmark_v3.0_IM-3","pr-glob-: AuditIfNotExists (default: managedIdentityShouldBeUsedInYourWebAppMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"f0e6e85b-9b9f-4a4b-b67b-f730d42f1b0b","","BuiltIn","App Service","App Service apps should use the latest TLS version","Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for App Service apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.","Azure_Security_Benchmark_v3.0_NS-8,Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: AuditIfNotExists (default: latestTLSVersionShouldBeUsedInYourWebAppMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"eaebaea7-8013-4ceb-9d14-7eb32271373c","","BuiltIn","App Service","Function apps should have 'Client Certificates (Incoming client certificates)' enabled","Client certificates allow for the app to request a certificate for incoming requests. Only clients with valid certificates will be able to reach the app.","Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: Audit (default: functionAppsShouldHaveClientCertificatesEnabledMonitoringEffect)","parameter: Disabled,Audit","Audit",""
"0e60b895-3786-45da-8377-9c6b4b6ac5f9","","BuiltIn","App Service","Function apps should have remote debugging turned off","Remote debugging requires inbound ports to be opened on Function apps. Remote debugging should be turned off.","Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: AuditIfNotExists (default: functionAppDisableRemoteDebuggingMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"0820b7b9-23aa-4725-a1ce-ae4558f718e5","","BuiltIn","App Service","Function apps should not have CORS configured to allow every resource to access your apps","Cross-Origin Resource Sharing (CORS) should not allow all domains to access your Function app. Allow only required domains to interact with your Function app.","Azure_Security_Benchmark_v3.0_PV-2","pr-glob-: AuditIfNotExists (default: functionAppRestrictCORSAccessMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"6d555dd1-86f2-4f1c-8ed7-5abae7c6cbab","","BuiltIn","App Service","Function apps should only be accessible over HTTPS","Use of HTTPS ensures server/service authentication and protects data in transit from network layer eavesdropping attacks.","Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: Audit (default: functionAppEnforceHttpsMonitoringEffectV2)","parameter: Disabled,Audit","Audit",""
"399b2637-a50f-4f95-96f8-3a145476eb15","","BuiltIn","App Service","Function apps should require FTPS only","Enable FTPS enforcement for enhanced security.","Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: AuditIfNotExists (default: fTPSOnlyShouldBeRequiredInYourFunctionAppMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"0da106f2-4ca3-48e8-bc85-c638fe6aea8f","","BuiltIn","App Service","Function apps should use managed identity","Use a managed identity for enhanced authentication security","Azure_Security_Benchmark_v3.0_IM-3","pr-glob-: AuditIfNotExists (default: managedIdentityShouldBeUsedInYourFunctionAppMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"f9d614c5-c173-4d56-95a7-b4437057d193","","BuiltIn","App Service","Function apps should use the latest TLS version","Periodically, newer versions are released for TLS either due to security flaws, include additional functionality, and enhance speed. Upgrade to the latest TLS version for Function apps to take advantage of security fixes, if any, and/or new functionalities of the latest version.","Azure_Security_Benchmark_v3.0_NS-8,Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: AuditIfNotExists (default: latestTLSVersionShouldBeUsedInYourFunctionAppMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"3657f5a0-770e-44a3-b44e-9431ba1e9735","","BuiltIn","Automation","Automation account variables should be encrypted","It is important to enable encryption of Automation account variable assets when storing sensitive data","Azure_Security_Benchmark_v3.0_DP-4","pr-glob-: Audit (default: encryptionOfAutomationAccountMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"51c1490f-3319-459c-bbbc-7f391bbed753","","BuiltIn","Azure Databricks","Azure Databricks Clusters should disable public IP","Disabling public IP of clusters in Azure Databricks Workspaces improves security by ensuring that the clusters aren't exposed on the public internet. Learn more at: https://learn.microsoft.com/azure/databricks/security/secure-cluster-connectivity.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (Policy Default)","override: Audit,Deny,Disabled","Audit",""
"9c25c9e4-ee12-4882-afd2-11fb9d87893f","","BuiltIn","Azure Databricks","Azure Databricks Workspaces should be in a virtual network","Azure Virtual Networks provide enhanced security and isolation for your Azure Databricks Workspaces, as well as subnets, access control policies, and other features to further restrict access. Learn more at: https://docs.microsoft.com/azure/databricks/administration-guide/cloud-configurations/azure/vnet-inject.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (Policy Default)","override: Audit,Deny,Disabled","Audit",""
"0e7849de-b939-4c50-ab48-fc6b0f5eeba2","","BuiltIn","Azure Databricks","Azure Databricks Workspaces should disable public network access","Disabling public network access improves security by ensuring that the resource isn't exposed on the public internet. You can control exposure of your resources by creating private endpoints instead. Learn more at: https://learn.microsoft.com/azure/databricks/administration-guide/cloud-configurations/azure/private-link. ","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (Policy Default)","override: Audit,Deny,Disabled","Audit",""
"258823f2-4595-4b52-b333-cc96192710d8","","BuiltIn","Azure Databricks","Azure Databricks Workspaces should use private link","Azure Private Link lets you connect your virtual networks to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to Azure Databricks workspaces, you can reduce data leakage risks. Learn more about private links at: https://aka.ms/adbpe.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (Policy Default)","override: Audit,Disabled","Audit",""
"138ff14d-b687-4faa-a81c-898c91a87fa2","","BuiltIn","Azure Databricks","Resource logs in Azure Databricks Workspaces should be enabled","Resource logs enable recreating activity trails to use for investigation purposes when a security incident occurs or when your network is compromised.","Azure_Security_Benchmark_v3.0_LT-3","pr-glob-: AuditIfNotExists (Policy Default)","override: AuditIfNotExists,Disabled","AuditIfNotExists",""
"013e242c-8828-4970-87b3-ab247555486d","","BuiltIn","Backup","Azure Backup should be enabled for Virtual Machines","Ensure protection of your Azure Virtual Machines by enabling Azure Backup. Azure Backup is a secure and cost effective data protection solution for Azure.","Azure_Security_Benchmark_v3.0_BR-1,Azure_Security_Benchmark_v3.0_BR-2","pr-glob-: AuditIfNotExists (default: azureBackupShouldBeEnabledForVirtualMachinesMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"428256e6-1fac-4f48-a757-df34c2b3336d","","BuiltIn","Batch","Resource logs in Batch accounts should be enabled","Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised","Azure_Security_Benchmark_v3.0_LT-3","pr-glob-: AuditIfNotExists (default: diagnosticsLogsInBatchAccountMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists","{""diagnosticsLogsInBatchAccountRetentionDays"":""1""}"
"7803067c-7d34-46e3-8c79-0ca68fc4036d","","BuiltIn","Cache","Azure Cache for Redis should use private link","Private endpoints lets you connect your virtual network to Azure services without a public IP address at the source or destination. By mapping private endpoints to your Azure Cache for Redis instances, data leakage risks are reduced. Learn more at: https://docs.microsoft.com/azure/azure-cache-for-redis/cache-private-link.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: AuditIfNotExists (default: azureCacheForRedisShouldUsePrivateEndpointMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"22bee202-a82f-4305-9a2a-6d7f44d4dedb","","BuiltIn","Cache","Only secure connections to your Azure Cache for Redis should be enabled","Audit enabling of only connections via SSL to Azure Cache for Redis. Use of secure connections ensures authentication between the server and the service and protects data in transit from network layer attacks such as man-in-the-middle, eavesdropping, and session-hijacking","Azure_Security_Benchmark_v3.0_DP-3","pr-glob-: Audit (default: diagnosticsLogsInRedisCacheMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"0725b4dd-7e76-479c-a735-68e7ee23d5ca","","BuiltIn","Cognitive Services","Cognitive Services accounts should disable public network access","To improve the security of Cognitive Services accounts, ensure that it isn't exposed to the public internet and can only be accessed from a private endpoint. Disable the public network access property as described in https://go.microsoft.com/fwlink/?linkid=2129800. This option disables access from any public address space outside the Azure IP range, and denies all logins that match IP or virtual network-based firewall rules. This reduces data leakage risks.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: publicNetworkAccessShouldBeDisabledForCognitiveServicesAccountsMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"67121cc7-ff39-4ab8-b7e3-95b84dab487d","","BuiltIn","Cognitive Services","Cognitive Services accounts should enable data encryption with a customer-managed key","Customer-managed keys are commonly required to meet regulatory compliance standards. Customer-managed keys enable the data stored in Cognitive Services to be encrypted with an Azure Key Vault key created and owned by you. You have full control and responsibility for the key lifecycle, including rotation and management. Learn more about customer-managed keys at https://go.microsoft.com/fwlink/?linkid=2121321.","Azure_Security_Benchmark_v3.0_DP-5","pr-glob-: Disabled (default: cognitiveServicesAccountsShouldEnableDataEncryptionWithACustomerManagedKeyMonitoringEffect)","parameter: Disabled,Audit,Deny","Disabled",""
"037eea7a-bd0a-46c5-9a66-03aea78705d3","","BuiltIn","Cognitive Services","Cognitive Services accounts should restrict network access","Network access to Cognitive Services accounts should be restricted. Configure network rules so only applications from allowed networks can access the Cognitive Services account. To allow connections from specific internet or on-premises clients, access can be granted to traffic from specific Azure virtual networks or to public internet IP address ranges.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: cognitiveServicesAccountsShouldRestrictNetworkAccessMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"1d84d5fb-01f6-4d12-ba4f-4a26081d403d","","BuiltIn","Compute","Virtual machines should be migrated to new Azure Resource Manager resources","Use new Azure Resource Manager for your virtual machines to provide security enhancements such as: stronger access control (RBAC), better auditing, Azure Resource Manager based deployment and governance, access to managed identities, access to key vault for secrets, Azure AD-based authentication and support for tags and resource groups for easier security management","Azure_Security_Benchmark_v3.0_AM-2","pr-glob-: Audit (default: classicComputeVMsMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"5b9159ae-1701-4a6f-9a7a-aa9c8ddd0580","","BuiltIn","Container Registry","Container registries should be encrypted with a customer-managed key","Use customer-managed keys to manage the encryption at rest of the contents of your registries. By default, the data is encrypted at rest with service-managed keys, but customer-managed keys are commonly required to meet regulatory compliance standards. Customer-managed keys enable the data to be encrypted with an Azure Key Vault key created and owned by you. You have full control and responsibility for the key lifecycle, including rotation and management. Learn more at https://aka.ms/acr/CMK.","Azure_Security_Benchmark_v3.0_DP-5","pr-glob-: Disabled (default: containerRegistriesShouldBeEncryptedWithACustomerManagedKeyMonitoringEffect)","parameter: Disabled,Audit,Deny","Disabled",""
"d0793b48-0edc-4296-a390-4c75d1bdfd71","","BuiltIn","Container Registry","Container registries should not allow unrestricted network access","Azure container registries by default accept connections over the internet from hosts on any network. To protect your registries from potential threats, allow access from only specific private endpoints, public IP addresses or address ranges. If your registry doesn't have network rules configured, it will appear in the unhealthy resources. Learn more about Container Registry network rules here: https://aka.ms/acr/privatelink, https://aka.ms/acr/portal/public-network and https://aka.ms/acr/vnet.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: containerRegistriesShouldNotAllowUnrestrictedNetworkAccessMonitoringEffect)","parameter: Disabled,Audit","Audit",""
"e8eef0a8-67cf-4eb4-9386-14b0e78733d4","","BuiltIn","Container Registry","Container registries should use private link","Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The private link platform handles the connectivity between the consumer and services over the Azure backbone network.By mapping private endpoints to your container registries instead of the entire service, you'll also be protected against data leakage risks. Learn more at: https://aka.ms/acr/private-link.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: containerRegistriesShouldUsePrivateLinkMonitoringEffect)","parameter: Disabled,Audit","Audit",""
"862e97cf-49fc-4a5c-9de4-40d4e2e7c8eb","","BuiltIn","Cosmos DB","Azure Cosmos DB accounts should have firewall rules","Firewall rules should be defined on your Azure Cosmos DB accounts to prevent traffic from unauthorized sources. Accounts that have at least one IP rule defined with the virtual network filter enabled are deemed compliant. Accounts disabling public access are also deemed compliant.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: azureCosmosDBAccountsShouldHaveFirewallRulesMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"1f905d99-2ab7-462c-a6b0-f709acca6c8f","","BuiltIn","Cosmos DB","Azure Cosmos DB accounts should use customer-managed keys to encrypt data at rest","Use customer-managed keys to manage the encryption at rest of your Azure Cosmos DB. By default, the data is encrypted at rest with service-managed keys, but customer-managed keys are commonly required to meet regulatory compliance standards. Customer-managed keys enable the data to be encrypted with an Azure Key Vault key created and owned by you. You have full control and responsibility for the key lifecycle, including rotation and management. Learn more at https://aka.ms/cosmosdb-cmk.","Azure_Security_Benchmark_v3.0_DP-5","pr-glob-: disabled (default: azureCosmosDbAccountsShouldUseCustomerManagedKeysToEncryptDataAtRestMonitoringEffect)","parameter: disabled,audit,deny","disabled",""
"5450f5bd-9c72-4390-a9c4-a7aba4edfdd2","","BuiltIn","Cosmos DB","Cosmos DB database accounts should have local authentication methods disabled","Disabling local authentication methods improves security by ensuring that Cosmos DB database accounts exclusively require Azure Active Directory identities for authentication. Learn more at: https://docs.microsoft.com/azure/cosmos-db/how-to-setup-rbac#disable-local-auth.","Azure_Security_Benchmark_v3.0_IM-1","pr-glob-: Audit (default: azureCosmosDbAccountsShouldHaveLocalAuthenticationMethodsDisabledMonitoringEffect)","parameter: Disabled,Audit,Deny","Audit",""
"057ef27e-665e-4328-8ea3-04b3122bd9fb","","BuiltIn","Data Lake","Resource logs in Azure Data Lake Store should be enabled","Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised","Azure_Security_Benchmark_v3.0_LT-3","pr-glob-: AuditIfNotExists (default: diagnosticsLogsInDataLakeStoreMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists","{""diagnosticsLogsInDataLakeStoreRetentionDays"":""1""}"
"c95c74d9-38fe-4f0d-af86-0c7d626a315c","","BuiltIn","Data Lake","Resource logs in Data Lake Analytics should be enabled","Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised","Azure_Security_Benchmark_v3.0_LT-3","pr-glob-: AuditIfNotExists (default: diagnosticsLogsInDataLakeAnalyticsMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists","{""diagnosticsLogsInDataLakeAnalyticsRetentionDays"":""1""}"
"9830b652-8523-49cc-b1b3-e17dce1127ca","","BuiltIn","Event Grid","Azure Event Grid domains should use private link","Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to your Event Grid domain instead of the entire service, you'll also be protected against data leakage risks. Learn more at: https://aka.ms/privateendpoints.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: azureEventGridDomainsShouldUsePrivateLinkMonitoringEffect)","parameter: Disabled,Audit","Audit",""
"4b90e17e-8448-49db-875e-bd83fb6f804f","","BuiltIn","Event Grid","Azure Event Grid topics should use private link","Azure Private Link lets you connect your virtual network to Azure services without a public IP address at the source or destination. The Private Link platform handles the connectivity between the consumer and services over the Azure backbone network. By mapping private endpoints to your Event Grid topic instead of the entire service, you'll also be protected against data leakage risks. Learn more at: https://aka.ms/privateendpoints.","Azure_Security_Benchmark_v3.0_NS-2","pr-glob-: Audit (default: azureEventGridTopicsShouldUsePrivateLinkMonitoringEffect)","parameter: Disabled,Audit","Audit",""
"83a214f7-d01a-484b-91a9-ed54470c9a6a","","BuiltIn","Event Hub","Resource logs in Event Hub should be enabled","Audit enabling of resource logs. This enables you to recreate activity trails to use for investigation purposes; when a security incident occurs or when your network is compromised","Azure_Security_Benchmark_v3.0_LT-3","pr-glob-: AuditIfNotExists (default: diagnosticsLogsInEventHubMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists","{""diagnosticsLogsInEventHubRetentionDays"":""1""}"
"a451c1ef-c6ca-483d-87ed-f49761e3ffb5","","BuiltIn","General","Audit usage of custom RBAC roles","Audit built-in roles such as 'Owner, Contributer, Reader' instead of custom RBAC roles, which are error prone. Using custom roles is treated as an exception and requires a rigorous review and threat modeling","Azure_Security_Benchmark_v3.0_PA-7","pr-glob-: Audit (default: useRbacRulesMonitoringEffect)","parameter: Disabled,Audit","Audit",""
"ca88aadc-6e2b-416c-9de2-5a0f01d1693f","","BuiltIn","Guest Configuration","[Preview]: Linux virtual machines should enable Azure Disk Encryption or EncryptionAtHost.","By default, a virtual machine's OS and data disks are encrypted-at-rest using platform-managed keys; temp disks and data caches aren't encrypted, and data isn't encrypted when flowing between compute and storage resources. Use Azure Disk Encryption or EncryptionAtHost to encrypt all this data.Visit https://aka.ms/diskencryptioncomparison to compare encryption offerings. This policy requires two prerequisites to be deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol.","Azure_Security_Benchmark_v3.0_DP-4","pr-glob-: AuditIfNotExists (default: gcLinuxDiskEncryptionMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"3dc5edcd-002d-444c-b216-e123bbfa37c0","","BuiltIn","Guest Configuration","[Preview]: Windows virtual machines should enable Azure Disk Encryption or EncryptionAtHost.","By default, a virtual machine's OS and data disks are encrypted-at-rest using platform-managed keys; temp disks and data caches aren't encrypted, and data isn't encrypted when flowing between compute and storage resources. Use Azure Disk Encryption or EncryptionAtHost to encrypt all this data.Visit https://aka.ms/diskencryptioncomparison to compare encryption offerings. This policy requires two prerequisites to be deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol.","Azure_Security_Benchmark_v3.0_DP-4","pr-glob-: AuditIfNotExists (default: gcWindowsDiskEncryptionMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"630c64f9-8b6b-4c64-b511-6544ceff6fd6","","BuiltIn","Guest Configuration","Authentication to Linux machines should require SSH keys","Although SSH itself provides an encrypted connection, using passwords with SSH still leaves the VM vulnerable to brute-force attacks. The most secure option for authenticating to an Azure Linux virtual machine over SSH is with a public-private key pair, also known as SSH keys. Learn more: https://docs.microsoft.com/azure/virtual-machines/linux/create-ssh-keys-detailed.","Azure_Security_Benchmark_v3.0_IM-6","pr-glob-: AuditIfNotExists (default: authenticationToLinuxMachinesShouldRequireSSHKeysMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"1e7fed80-8321-4605-b42c-65fc300f23a3","","BuiltIn","Guest Configuration","Linux machines should have Log Analytics agent installed on Azure Arc","Machines are non-compliant if Log Analytics agent is not installed on Azure Arc enabled Linux server.","Azure_Security_Benchmark_v3.0_LT-5","pr-glob-: AuditIfNotExists (default: ArcLinuxMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"fc9b3da7-8347-4380-8e70-0a0361d8dedd","","BuiltIn","Guest Configuration","Linux machines should meet requirements for the Azure compute security baseline","Requires that prerequisites are deployed to the policy assignment scope. For details, visit https://aka.ms/gcpol. Machines are non-compliant if the machine is not configured correctly for one of the recommendations in the Azure compute security baseline.","Azure_Security_Benchmark_v3.0_PV-4","pr-glob-: AuditIfNotExists (default: linuxGuestConfigBaselinesMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists",""
"bed48b13-6647-468e-aa2f-1af1d3f4dd40","","BuiltIn","Guest Configuration","Windows Defender Exploit Guard should be enabled on your machines","Windows Defender Exploit Guard uses the Azure Policy Guest Configuration agent. Exploit Guard has four components that are designed to lock down devices against a wide variety of attack vectors and block behaviors commonly used in malware attacks while enabling enterprises to balance their security risk and productivity requirements (Windows only).","Azure_Security_Benchmark_v3.0_LT-1,Azure_Security_Benchmark_v3.0_LT-2,Azure_Security_Benchmark_v3.0_ES-2","pr-glob-: AuditIfNotExists (default: windowsDefenderExploitGuardMonitoringEffect)","parameter: Disabled,AuditIfNotExists","AuditIfNotExists","{""windowsWebServersShouldBeConfiguredToUseSecureCommunicationProtocolsIncludeArcMachines"":""true""}"
